Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion
T000277,C0085,Aom Thongdee,aom.thongdee85@example.com,female,Chiang Mai,2026/02/11,2026-02-11 12:00:00,Food,3,282.28,0.05,804.5,COD,Completed,N
T000344,C0116,Boss Wongsa,boss.wongsa116@example.com,female,Chonburi,2026-01-14,2026-01-14 07:00:00,Sports,3,202.84,0.0,608.52,Credit Card,Processing,N
T000129,C0079,Mook Srisawat,mook.srisawat79@example.com,FEMALE,Chanthaburi,2026-04-15,2026-04-15 11:00:00,Electronics,3,105.51,0.1,284.88,Prompt Pay,Cancelled,N
T000044,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,26-01-2026,2026-01-26 02:00:00,Beauty,5,273.16,0.2,1092.64,cash,Completed,N
T000293,C0076,Pim Phromla,pim.phromla76@example.com,m,Chanthaburi,2026-02-18,2026-02-20 01:00:00,Electronics,6,297.28,0.05,1694.5,Bank Transfer,Processing,N
T000146,C0132,Fah Saelim,fah.saelim132@example.com,male,Khon Kaen,2026-01-16,2026-01-16 02:00:00,Food,3,119.99,0.1,323.97,promptpay,Returned,N
T000559,C0038,Boss Kittikul,boss.kittikul38@example.com,FEMALE,Nakhon Ratchasima,05/19/2026,2026-05-19 03:00:00,Electronics,4,385.46,0.05,1407.15,bank_transfer,Returned,N
T000082,C0145,Tee Srisawat,tee.srisawat145@example.com,m,Nakhon Ratchasima,2026/02/22,2026-02-22 17:00:00,Electronics,4,213.82,0.0,855.28,COD,Processing,N
T000368,C0179,Jane Chaiyo,jane.chaiyo179@example.com,Female,Chanthaburi,12-04-2026,2026-04-12 01:00:00,Electronics,6,147.75,0.0,886.5,promptpay,Processing,N
T000353,C0109,Jane Thongdee,,f,Bangkok,2026-04-16,2026-04-16 04:00:00,Electronics,6,143.3,0.0,859.8,promptpay,Cancelled,N
T000505,C0173,Tee Wongsa,tee.wongsa173@example.com,Male,Phuket,14/04/2026,2026-04-14 17:00:00,Beauty,5,258.8,0.0,1294.0,Credit Card,Processing,N
T000571,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Chiang Mai,17-01-2026,2026-01-20 13:00:00,Food,4,236.68,0.0,946.72,cash,Completed,N
T000599,C0039,Beam Boonmee,beam.boonmee39@example.com,Male,Rayong,2026-01-01,2026-01-01 07:00:00,Sports,1,470.07,0.15,318.43,Credit Card,Returned,N
T000074,C0022,Film Kittikul,film.kittikul22@example.com,FEMALE,Nakhon Ratchasima,2026-06-12,2026-06-12 08:00:00,Beauty,6,166.19,0.1,897.43,promptpay,Returned,Y
T000205,C0134,Pim Wongsa,,MALE,Chanthaburi,2026-06-28,2026-06-28 16:00:00,Food,6,247.3,0.0,1483.8,COD,Cancelled,N
T000070,C0062,Beam Rattanakul,,M,Bangkok,31-03-2026,2026-03-31 08:00:00,Beauty,6,210.09,0.0,1260.54,CC,Completed,N
T000130,C0093,Bank Thongdee,bank.thongdee93@example.com,F,Khon Kaen,06-01-2026,2026-01-06 08:00:00,Sports,3,162.6,0.1,439.02,Prompt Pay,Cancelled,N
T000411,C0056,Mint Maneerat,mint.maneerat56@example.com,Male,Rayong,09-01-2026,2026-01-09 11:00:00,Beauty,5,268.07,0.0,1340.35,PromptPay,Cancelled,N
T900007,C0149,May Pattanakul,may.pattanakul149@example.com,female,Chiang Mai,31/02/2026,2026-04-03 17:00:00,Fashion,2,218.01,0.1,392.42,Transfer,Returned,N
T000116,C0145,Tee Srisawat,tee.srisawat145@example.com,m,Nakhon Ratchasima,05/25/2026,2026-05-25 06:00:00,Beauty,4,340.01,0.05,1292.04,Transfer,unknown_status,N
T000548,C0053,Jane Pattanakul,jane.pattanakul53@example.com,male,Nakhon Ratchasima,08/01/2026,2026-01-08 02:00:00,Beauty,4,77.7,0.0,310.8,CC,Cancelled,N
T000211,C0150,Mook Chaiyo,mook.chaiyo150@example.com,female,Chiang Mai,2026-04-30,2026-04-30 05:00:00,Food,5,76.96,0.0,384.8,credit card,Cancelled,N
T000558,C0033,Pim Srisawat,pim.srisawat33@example.com,Male,Rayong,2026-06-27,2026-06-27 14:00:00,Electronics,2,89.22,0.0,115.33,credit card,Returned,N
T000531,C0125,May Lertprasert,may.lertprasert125@example.com,female,Rayong,2026-01-10,2026-01-10 10:00:00,Sports,1,103.51,0.15,87.98,PP,Returned,N
T000250,C0011,Mint Rattanakul,mint.rattanakul11@example.com,F,Chanthaburi,02/04/2026,2026-02-04 19:00:00,Food,5,231.48,0.15,983.79,COD,Returned,N
T000179,C0034,Fah Pattanakul,fah.pattanakul34@example.com,Male,Chiang Mai,2026/02/23,2026-02-23 15:00:00,Sports,6,87.78,0.0,526.68,Credit Card,Cancelled,N
T000105,C0086,Korn Dechawat,korn.dechawat86@example.com,female,Nakhon Ratchasima,2026-05-07,2026-05-07 08:00:00,Food,2,79.14,0.0,158.28,credit card,Processing,N
T000462,C0085,Aom Thongdee,aom.thongdee85@example.com,Female,,06/25/2026,2026-06-25 18:00:00,Beauty,1,137.25,0.1,123.53,cash,Cancelled,N
T000441,C0016,Korn Lertprasert,korn.lertprasert16@example.com,m,,2026/03/01,2026-03-01 13:00:00,Sports,2,211.65,0.15,359.81,Credit Card,Cancelled,N
T000118,C0024,Fah Boonmee,fah.boonmee24@example.com,F,Bangkok,2026-06-22,2026-06-22 01:00:00,Electronics,5,198.5,0.05,942.88,COD,Completed,N
T000050,C0122,Anan Wongsa,anan.wongsa122@example.com,M,Chanthaburi,02/27/2026,2026-02-27 15:00:00,Food,6,188.54,0.05,1074.68,Prompt Pay,Completed,N
T000253,C0149,May Pattanakul,may.pattanakul149@example.com,Female,,2026-04-21,2026-04-21 14:00:00,Electronics,6,166.88,0.15,851.09,bank_transfer,Returned,N
T000479,C0133,Gun Kittikul,,Female,Phuket,05/28/2026,2026-05-28 11:00:00,Home,6,98.7,0.1,382.34,Prompt Pay,Returned,N
T000139,C0044,Gun Phromla,gun.phromla44@example.com,F,Chonburi,24-05-2026,2026-05-24 19:00:00,Electronics,4,172.46,0.15,586.36,promptpay,Cancelled,N
T000300,C0176,Ploy Boonmee,ploy.boonmee176@example.com,MALE,Chanthaburi,2026-02-19,2026-02-19 17:00:00,Fashion,1,666.44,0.1,599.8,bank_transfer,Completed,N
T000510,C0016,Korn Lertprasert,korn.lertprasert16@example.com,Male,Khon Kaen,2026-02-12,2026-02-12 18:00:00,Beauty,3,116.82,0.0,350.46,Card,Completed,N
T000171,C0166,Jane Srisawat,jane.srisawat166@example.com,Female,Nakhon Ratchasima,2026-05-30,2026-05-30 17:00:00,Fashion,5,151.98,0.0,759.9,PromptPay,Cancelled,N
T000528,C0067,May Pattanakul,may.pattanakul67@example.com,Male,Chonburi,2026-03-14,2026-03-14 16:00:00,Beauty,3,137.2,0.05,391.02,COD,Processing,N
T900001,C0173,Tee Wongsa,tee.wongsa173@example.com,m,Phuket,2026-02-03,2026-02-03 03:00:00,Beauty,3,286.06,0.0,858.18,Transfer,Returned,N
T000532,C0010,Beam Sukjai,beam.sukjai10@example.com,MALE,Phuket,2026-06-27,2026-06-27 06:00:00,Electronics,3,148.42,0.1,400.73,PP,Cancelled,N
T000498,C0149,May Pattanakul,may.pattanakul149@example.com,F,,2026/03/22,2026-03-22 11:00:00,Home,4,166.41,0.0,665.64,Transfer,Processing,N
T000130,C0093,Bank Thongdee,bank.thongdee93@example.com,F,Khon Kaen,06-01-2026,2026-01-06 08:00:00,Sports,3,162.6,0.1,439.02,Prompt Pay,Cancelled,N
T000401,C0137,Film Boonmee,film.boonmee137@example.com,M,Khon Kaen,2026-06-10,2026-06-10 15:00:00,Fashion,1,488.78,0.2,391.02,cash,Processing,N
T000102,C0004,Tee Dechawat,tee.dechawat4@example.com,m,Bangkok,2026-06-12,2026-06-14 18:00:00,Electronics,1,144.45,0.15,1227.8,bank_transfer,Completed,Y
T000509,C0071,Aom Sukjai,aom.sukjai71@example.com,MALE,Chanthaburi,2026-03-08,2026-03-10 10:00:00,Beauty,3,90.67,0.0,272.01,credit card,Returned,N
T000464,C0103,Tee Phromla,tee.phromla103@example.com,female,Phuket,01/19/2026,2026-01-19 05:00:00,Food,6,260.38,0.05,1484.17,CC,Cancelled,N
T000354,C0152,Tee Dechawat,tee.dechawat152@example.com,m,Chanthaburi,02/15/2026,2026-02-15 19:00:00,Fashion,1,177.36,0.0,177.36,bank_transfer,Completed,N
T000358,C0069,Jane Saelim,jane.saelim69@example.com,male,Khon Kaen,2026-01-22,2026-01-22 04:00:00,Electronics,2,327.93,0.05,623.07,promptpay,Cancelled,N
T000583,C0119,Boss Khamdee,boss.khamdee119@example.com,MALE,Khon Kaen,2026-05-03,2026-05-03 17:00:00,Fashion,1,149.8,0.2,119.84,credit card,Completed,N
T000542,C0104,May Srisawat,may.srisawat104@example.com,female,Chonburi,2026/02/28,2026-02-28 05:00:00,Sports,5,199.81,0.05,949.1,Prompt Pay,Completed,N
T000183,C0001,Tee Saelim,tee.saelim1@example.com,F,Bangkok,2026/04/15,2026-04-15 09:00:00,Home,4,167.56,0.0,670.24,Transfer,Processing,N
T000158,C0049,Gun Dechawat,gun.dechawat49@example.com,FEMALE,Nakhon Ratchasima,2026/02/13,2026-02-13 07:00:00,Food,6,175.83,0.1,949.48,PromptPay,Returned,N
T000117,C0025,Mook Srisawat,mook.srisawat25@example.com,MALE,Nakhon Ratchasima,2026/02/28,2026-02-28 02:00:00,Fashion,5,202.7,0.2,694.33,promptpay,Returned,N
T000213,C0013,Narin Wongsa,narin.wongsa13@example.com,Female,Khon Kaen,2026-05-21,2026-05-25 19:00:00,Sports,5,284.47,0.1,1280.12,COD,Processing,N
T000577,C0007,Jane Saelim,jane.saelim7@example.com,male,Chiang Mai,09-03-2026,2026-03-09 03:00:00,Home,2,376.66,0.2,602.66,Cash on Delivery,Processing,Y
T000203,C0070,Pim Chaiyo,pim.chaiyo70@example.com,m,Khon Kaen,05/22/2026,2026-05-22 19:00:00,Home,2,114.35,0.05,217.26,PromptPay,Processing,N
T000320,C0017,Mook Rattanakul,mook.rattanakul17@example.com,female,Khon Kaen,2026-02-23,2026-02-23 17:00:00,Sports,6,333.51,0.0,2001.06,PromptPay,Processing,N
T000315,C0029,Aom Pattanakul,aom.pattanakul29@example.com,f,Bangkok,03/17/2026,2026-03-17 12:00:00,Beauty,5,247.85,0.0,1239.25,cash,Cancelled,N
T000410,C0172,Beam Saelim,beam.saelim172@example.com,f,Rayong,2026-02-05,2026-02-05 10:00:00,Food,2,64.3,0.1,115.74,PP,Returned,N
T000121,C0141,Korn Phromla,korn.phromla141@example.com,M,Khon Kaen,22/01/2026,2026-01-22 07:00:00,Fashion,1,76.25,0.05,72.44,cash,Completed,N
T000210,C0044,Gun Phromla,gun.phromla44@example.com,female,Chonburi,2026-03-28,2026-03-28 02:00:00,Electronics,6,213.42,0.15,1088.44,Transfer,Completed,N
T000319,C0123,Ploy Khamdee,ploy.khamdee123@example.com,female,Chanthaburi,2026-04-14,2026-04-14 11:00:00,Electronics,6,312.61,0.1,1688.09,Transfer,Returned,N
T000352,C0081,Film Srisawat,film.srisawat81@example.com,M,Chonburi,2026-05-12,2026-05-12 01:00:00,Sports,1,316.91,0.0,316.91,PP,Completed,N
T000292,C0080,May Kittikul,may.kittikul80@example.com,FEMALE,Khon Kaen,24-06-2026,2026-06-24 07:00:00,Fashion,2,299.01,0.1,538.22,COD,Cancelled,N
T000051,C0162,Aom Dechawat,aom.dechawat162@example.com,m,Rayong,2026-05-22,2026-05-22 15:00:00,Food,6,147.08,0.1,794.23,Cash on Delivery,Processing,N
T000295,C0060,Tee Maneerat,tee.maneerat60@example.com,m,Rayong,16/02/2026,2026-02-16 13:00:00,Food,4,521.86,0.15,1774.32,cash,Completed,N
T000027,C0173,Tee Wongsa,tee.wongsa173@example.com,MALE,Phuket,2026-06-13,2026-06-13 12:00:00,Home,3,254.83,0.0,764.49,COD,Processing,N
T000477,C0139,Gun Phromla,gun.phromla139@example.com,MALE,Nakhon Ratchasima,2026/03/19,2026-03-19 06:00:00,Fashion,5,73.37,0.0,366.85,cash,Returned,N
T000045,C0075,Ice Maneerat,ice.maneerat75@example.com,f,Bangkok,30/05/2026,2026-05-30 06:00:00,Home,3,347.59,0.1,938.49,Card,Completed,N
T000367,C0123,Ploy Khamdee,ploy.khamdee123@example.com,female,Chanthaburi,2026/06/16,2026-06-16 09:00:00,Food,5,227.44,0.1,1023.48,cash,Cancelled,N
T000398,C0069,Jane Saelim,jane.saelim69@example.com,m,Khon Kaen,2026-05-15,2026-05-19 00:00:00,Food,5,205.91,0.0,1029.55,promptpay,Cancelled,N
T000327,C0048,Boss Dechawat,boss.dechawat48@example.com,female,Rayong,2026-03-12,2026-03-12 13:00:00,Food,2,180.15,0.15,306.25,Transfer,Completed,N
T000555,C0019,Korn Dechawat,korn.dechawat19@example.com,male,Nakhon Ratchasima,13-06-2026,2026-06-15 01:00:00,Electronics,4,473.76,0.2,1516.03,Cash on Delivery,Returned,N
T000090,C0109,Jane Thongdee,jane.thongdee109@example.com,FEMALE,Bangkok,14/05/2026,2026-05-14 04:00:00,Sports,4,255.94,0.0,1023.76,Prompt Pay,Returned,N
T000197,C0109,Jane Thongdee,jane.thongdee109@example.com,f,Bangkok,2026-02-02,2026-02-02 05:00:00,Home,2,210.54,0.0,421.08,credit card,Cancelled,N
T000107,C0087,May Sukjai,may.sukjai87@example.com,m,Chanthaburi,2026-06-13,2026-06-13 07:00:00,Home,4,125.39,0.0,501.56,credit card,Processing,N
T000569,C0086,Korn Dechawat,korn.dechawat86@example.com,f,Nakhon Ratchasima,2026-05-06,2026-05-06 19:00:00,Food,3,181.97,0.1,330.28,Transfer,Cancelled,N
T000095,C0142,Ploy Maneerat,ploy.maneerat142@example.com,Female,Chiang Mai,2026-05-09,2026-05-09 17:00:00,Electronics,6,571.14,0.0,3426.84,cash,Cancelled,N
T000317,C0036,Film Maneerat,film.maneerat36@example.com,Female,Chonburi,30-03-2026,2026-03-30 14:00:00,Beauty,6,159.05,0.0,954.3,Credit Card,Returned,N
T000024,C0141,Korn Phromla,korn.phromla141@example.com,MALE,Khon Kaen,04/17/2026,2026-04-17 01:00:00,Sports,5,212.22,0.05,1008.04,Credit Card,Cancelled,N
T000088,C0047,Ploy Saelim,ploy.saelim47@example.com,female,Khon Kaen,11/04/2026,2026-04-11 17:00:00,Electronics,3,383.05,0.0,1149.15,Bank Transfer,Returned,N
T900011,C0047,Ploy  Saelim,ploy.saelim47@example.com,f,Khon Kaen,2026-05-18,2026-05-18 17:00:00,Home,2,149.97,0.05,284.94,Bank Transfer,Processing,N
T000473,C0052,Gun Dechawat,gun.dechawat52@example.com,Female,Rayong,2026-04-22,2026-04-22 02:00:00,Electronics,1,284.44,0.15,241.77,cash,Processing,N
T000165,C0043,Beam Rattanakul,beam.rattanakul43@example.com,MALE,Bangkok,2026-06-07,2026-06-07 12:00:00,Sports,6,208.96,0.1,1128.38,Transfer,Returned,N
T000097,C0158,Nont Kittikul,nont.kittikul158@example.com,male,Nakhon Ratchasima,2026-01-05,2026-01-05 19:00:00,Food,4,175.75,0.0,703.0,Credit Card,Completed,N
T000054,C0012,Mint Pattanakul,mint.pattanakul12@example.com,M,Chiang Mai,27/02/2026,2026-02-27 13:00:00,Sports,3,305.63,0.05,871.05,PromptPay,Processing,N
T000486,C0178,Anan Wongsa,anan.wongsa178@example.com,Male,Khon Kaen,2026-04-15,2026-04-19 05:00:00,Fashion,6,156.07,0.0,936.42,PP,Processing,N
T000488,C0110,Mook Srisawat,mook.srisawat110@example.com,female,Nakhon Ratchasima,2026/04/18,2026-04-18 01:00:00,Food,1,269.19,0.1,242.27,Bank Transfer,Returned,N
T000214,C0156,Beam Kittikul,beam.kittikul156@example.com,male,Chanthaburi,26/06/2026,2026-06-26 02:00:00,Sports,5,130.87,0.2,523.48,Bank Transfer,Returned,N
T000231,C0156,Beam Kittikul,beam.kittikul156@example.com,m,Chanthaburi,02/23/2026,2026-02-23 08:00:00,Home,2,141.82,0.0,283.64,Bank Transfer,Processing,N
T000037,C0068,Beam Sukjai,beam.sukjai68@example.com,Female,Bangkok,2026-02-04,2026-02-04 04:00:00,Sports,4,365.29,0.0,1461.16,credit card,Completed,N
T000543,C0179,Jane Chaiyo,jane.chaiyo179@example.com,FEMALE,Chanthaburi,06/01/2026,2026-06-01 19:00:00,Sports,6,300.46,0.0,1802.76,Prompt Pay,unknown_status,N
T000414,C0030,May Thongdee,may.thongdee30@example.com,MALE,Nakhon Ratchasima,2026-04-10,2026-04-10 07:00:00,Electronics,3,158.95,0.0,476.85,Transfer,Cancelled,N
T000038,C0129,Ploy Chaiyo,,M,Bangkok,2026-01-06,2026-01-06 17:00:00,Beauty,4,211.89,0.1,762.8,PP,Completed,N
T000143,C0169,Boss Kittikul,boss.kittikul169@example.com,MALE,Nakhon Ratchasima,2026/05/06,2026-05-06 13:00:00,Sports,3,161.97,0.0,485.91,Credit Card,Cancelled,N
T000140,C0174,Ploy Kittikul,,MALE,Chiang Mai,2026-03-02,2026-03-02 13:00:00,Sports,5,138.85,0.1,624.83,promptpay,Completed,N
T000220,C0178,Anan Wongsa,anan.wongsa178@example.com,MALE,Khon Kaen,2026-03-18,2026-03-18 06:00:00,Home,1,221.19,0.05,210.13,Cash on Delivery,Completed,N
T000014,C0144,Gun Sukjai,,Male,Phuket,01/29/2026,2026-01-29 18:00:00,Home,3,172.11,0.0,516.33,bank_transfer,Processing,N
T000272,C0029,Aom Pattanakul,aom.pattanakul29@example.com,female,Bangkok,2026-04-27,2026-04-27 10:00:00,Sports,3,185.42,0.0,556.26,promptpay,Cancelled,N
T000534,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,06/18/2026,2026-06-18 01:00:00,Fashion,6,259.77,0.05,1480.69,Credit Card,Cancelled,N
T000582,C0034,Fah Pattanakul,fah.pattanakul34@example.com,Male,Chiang Mai,2026-03-21,2026-03-21 02:00:00,Electronics,4,138.78,0.0,555.12,Prompt Pay,Processing,N
T000001,C0132,Fah Saelim,fah.saelim132@example.com,m,Khon Kaen,2026-02-10,2026-02-10 02:00:00,Electronics,4,199.57,0.0,798.28,CC,Completed,N
T000346,C0127,Fah Rattanakul,fah.rattanakul127@example.com,f,Rayong,2026-05-26,2026-05-26 08:00:00,Beauty,6,301.38,0.0,1808.28,credit card,Cancel,N
T000529,C0179,Jane Chaiyo,jane.chaiyo179@example.com,female,Chanthaburi,2026-03-20,2026-03-20 07:00:00,Home,5,386.42,0.2,1545.68,CC,Returned,N
T000435,C0026,Mook Wongsa,mook.wongsa26@example.com,MALE,Chiang Mai,2026-03-08,2026-03-12 16:00:00,Beauty,5,120.9,0.1,544.05,Cash on Delivery,Returned,N
T000574,C0041,Tee Chaiyo,tee.chaiyo41@example.com,m,Chonburi,2026-06-22,2026-06-22 08:00:00,Fashion,0,189.02,0.2,151.22,Credit Card,Cancelled,N
T000413,C0047,Ploy Saelim,ploy.saelim47@example.com,FEMALE,Khon Kaen,11/04/2026,2026-04-11 13:00:00,Food,1,439.01,0.1,395.11,bank_transfer,Returned,N
T000111,C0105,Korn Sukjai,korn.sukjai105@example.com,f,Rayong,2026-01-28,2026-01-28 04:00:00,Beauty,3,163.24,0.0,489.72,bank_transfer,Completed,N
T000513,C0023,Beam Boonmee,beam.boonmee23@example.com,M,Khon Kaen,2026-03-09,2026-03-09 05:00:00,Electronics,5,288.21,0.05,1369.0,promptpay,Completed,Y
T000104,C0065,Pim Srisawat,pim.srisawat65@example.com,male,Nakhon Ratchasima,2026-01-07,2026-01-07 12:00:00,Electronics,3,340.28,0.05,969.8,COD,Processing,N
T000393,C0040,Pim Srisawat,pim.srisawat40@example.com,m,Rayong,2026-02-13,2026-02-13 09:00:00,Fashion,6,90.22,0.0,-1.0,Transfer,Completed,N
T000196,C0089,May Sukjai,may.sukjai89@example.com,Female,,2026-04-18,2026-04-18 06:00:00,Home,2,166.53,0.1,299.75,Transfer,Returned,N
T000375,C0108,Anan Khamdee,anan.khamdee108@example.com,Male,Nakhon Ratchasima,2026-01-09,2026-01-09 09:00:00,Fashion,6,480.57,0.0,2883.42,COD,Completed,N
T000306,C0136,Nont Kittikul,nont.kittikul136@example.com,female,Khon Kaen,2026/04/22,2026-04-22 04:00:00,Beauty,4,74.59,0.2,238.69,CC,Processing,N
T000442,C0136,Nont Kittikul,,FEMALE,Khon Kaen,30/01/2026,2026-01-30 13:00:00,Fashion,5,329.1,0.15,1398.67,cash,Completed,N
T000337,C0096,Korn Dechawat,korn.dechawat96@example.com,M,Chonburi,13/05/2026,2026-05-13 19:00:00,Electronics,3,373.15,0.0,1119.45,Credit Card,Cancelled,N
T000012,C0032,Bank Dechawat,bank.dechawat32@example.com,f,Nakhon Ratchasima,02/04/2026,2026-04-02 12:00:00,Fashion,4,303.9,0.15,1033.26,Credit Card,Returned,N
T000444,C0014,Beam Thongdee,beam.thongdee14@example.com,Male,Chonburi,2026-03-02,2026-03-02 14:00:00,Food,2,466.56,0.0,933.12,COD,Returned,N
T000537,C0072,Tee Lertprasert,tee.lertprasert72@example.com,f,Chanthaburi,2026-04-15,2026-04-15 12:00:00,Fashion,4,351.31,0.2,1124.19,Credit Card,Completed,N
T000525,C0080,May Kittikul,,Female,Khon Kaen,2026-04-16,2026-04-16 16:00:00,Fashion,3,670.66,0.0,2011.98,COD,Cancelled,N
T000461,C0008,Ice Rattanakul,ice.rattanakul8@example.com,MALE,Chiang Mai,2026-02-18,2026-02-18 10:00:00,Home,5,538.57,0.0,2692.85,Credit Card,Completed,N
T000483,C0167,Anan Sukjai,anan.sukjai167@example.com,Male,Nakhon Ratchasima,2026-02-18,2026-02-18 02:00:00,Home,2,132.25,0.05,251.27,cash,Cancelled,N
T000484,C0016,Korn Lertprasert,,Male,Khon Kaen,29/03/2026,2026-03-29 10:00:00,Electronics,1,152.78,0.05,145.14,Bank Transfer,Completed,N
T000321,C0169,Boss Kittikul,boss.kittikul169@example.com,m,Nakhon Ratchasima,2026-01-20,2026-01-20 14:00:00,Fashion,6,199.84,0.1,1079.14,Card,Processing,N
T000585,C0144,Gun Sukjai,gun.sukjai144@example.com,m,Phuket,2026-02-26,2026-02-26 17:00:00,Home,6,173.04,0.1,934.42,promptpay,Returned,N
T900004,C0144,Gun Sukjai,gun.sukjai144@example.com,M,Phuket,15-06-2026,2026-06-15 19:00:00,Fashion,4,307.1,0.1,680.15,credit card,Returned,N
T000308,C0141,Korn Phromla,korn.phromla141@example.com,male,Khon Kaen,2026-03-06,2026-03-06 09:00:00,Electronics,6,147.42,0.0,884.52,COD,Completed,N
T000331,C0026,Mook Wongsa,mook.wongsa26@example.com,MALE,Chiang Mai,2026/02/20,2026-02-20 19:00:00,Sports,4,132.13,0.05,502.09,Card,Cancelled,N
T000334,C0033,Pim Srisawat,pim.srisawat33@example.com,MALE,Rayong,2026-02-27,2026-02-27 02:00:00,Electronics,1,479.61,0.15,407.67,PromptPay,Returned,N
T000276,C0006,Pim Khamdee,,m,Nakhon Ratchasima,2026-05-19,2026-05-19 11:00:00,Fashion,6,118.86,0.1,641.84,COD,Completed,N
T000380,C0020,New Chaiyo,new.chaiyo20@example.com,male,,2026-04-12,2026-04-12 13:00:00,Fashion,1,147.16,0.05,139.8,CC,Completed,N
T000593,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,06/11/2026,2026-06-11 13:00:00,Electronics,6,164.61,0.05,938.28,Transfer,Completed,N
T000228,C0111,New Rattanakul,new.rattanakul111@example.com,Male,Bangkok,2026/03/25,2026-03-25 02:00:00,Electronics,4,72.06,0.1,259.42,Transfer,Processing,N
T000405,C0126,Ploy Maneerat,ploy.maneerat126@example.com,Female,Phuket,25/04/2026,2026-04-25 11:00:00,Sports,2,136.56,0.15,232.15,PromptPay,Returned,N
T000403,C0076,Pim Phromla,pim.phromla76@example.com,MALE,Chanthaburi,11-03-2026,2026-03-11 02:00:00,Home,5,776.68,0.1,3495.06,bank_transfer,Cancelled,N
T000482,C0067,May Pattanakul,,m,Chonburi,2026-01-03,2026-01-03 01:00:00,Home,1,237.37,0.1,213.63,CC,Cancelled,N
T000270,C0160,Mint Kittikul,mint.kittikul160@example.com,F,Chiang Mai,2026-01-23,2026-01-23 04:00:00,Home,4,82.86,0.05,314.87,COD,Processing,N
T000396,C0110,Mook Srisawat,mook.srisawat110@example.com,female,Nakhon Ratchasima,19/01/2026,2026-01-19 14:00:00,Beauty,1,195.61,0.1,176.05,Credit Card,Completed,N
